org,repo,number,date,is_merged,state,user
jupyter,jupyter.github.io,98,2016-06-06 09:25:54,True,closed,minrk
jupyter,jupyter.github.io,99,2016-06-06 10:54:45,True,closed,minrk
jupyter,jupyter.github.io,100,2016-06-06 10:57:24,True,closed,minrk
jupyter,jupyter.github.io,103,2016-06-22 00:26:00,False,closed,charnpreetsingh
jupyter,jupyter.github.io,105,2016-06-26 20:29:15,True,closed,willingc
jupyter,jupyter.github.io,106,2016-06-26 21:03:57,True,closed,willingc
jupyter,jupyter.github.io,107,2016-06-27 11:56:42,True,closed,willingc
jupyter,jupyter.github.io,109,2016-06-27 12:54:04,True,closed,SylvainCorlay
jupyter,jupyter.github.io,111,2016-06-27 23:37:59,True,closed,Carreau
jupyter,jupyter.github.io,112,2016-06-28 00:15:19,True,closed,SylvainCorlay
jupyter,jupyter.github.io,113,2016-06-28 00:47:37,True,closed,willingc
jupyter,jupyter.github.io,114,2016-06-29 00:14:10,True,closed,dmadeka
jupyter,jupyter.github.io,116,2016-07-14 03:30:20,True,closed,roshancvp
jupyter,jupyter.github.io,122,2016-09-07 00:32:14,True,closed,npmcdn-to-unpkg-bot
jupyter,jupyter.github.io,123,2016-09-08 05:55:35,False,closed,go-bears
jupyter,jupyter.github.io,124,2016-09-08 05:59:52,True,closed,go-bears
jupyter,jupyter.github.io,125,2016-09-13 20:56:05,True,closed,go-bears
jupyter,jupyter.github.io,127,2016-09-17 03:56:09,True,closed,go-bears
jupyter,jupyter.github.io,128,2016-09-20 22:53:28,True,closed,go-bears
jupyter,jupyter.github.io,129,2016-09-21 07:03:59,True,closed,go-bears
jupyter,jupyter.github.io,130,2016-09-26 00:21:13,True,closed,spoorthyv
jupyter,jupyter.github.io,131,2016-09-26 07:24:00,True,closed,spoorthyv
jupyter,jupyter.github.io,132,2016-09-27 21:44:45,True,closed,go-bears
jupyter,jupyter.github.io,133,2016-09-28 18:14:02,True,closed,rgbkrk
jupyter,jupyter.github.io,134,2016-09-29 18:04:06,True,closed,parente
jupyter,jupyter.github.io,135,2016-09-30 20:39:50,True,closed,SylvainCorlay
jupyter,jupyter.github.io,136,2016-10-04 12:31:42,True,closed,minrk
jupyter,jupyter.github.io,137,2016-10-04 12:42:44,True,closed,minrk
jupyter,jupyter.github.io,138,2016-10-06 13:00:45,True,closed,SylvainCorlay
jupyter,jupyter.github.io,139,2016-10-06 15:20:51,True,closed,SylvainCorlay
jupyter,jupyter.github.io,141,2016-10-09 20:30:02,True,closed,adamchainz
jupyter,jupyter.github.io,142,2016-10-10 14:16:17,True,closed,SylvainCorlay
jupyter,jupyter.github.io,143,2016-10-11 12:04:01,True,closed,SylvainCorlay
jupyter,jupyter.github.io,144,2016-10-13 04:44:51,False,closed,go-bears
jupyter,jupyter.github.io,145,2016-10-13 05:23:55,True,closed,go-bears
jupyter,jupyter.github.io,146,2016-10-13 09:45:02,True,closed,SylvainCorlay
jupyter,jupyter.github.io,147,2016-10-13 09:48:52,False,closed,SylvainCorlay
jupyter,jupyter.github.io,149,2016-10-26 21:23:47,True,closed,cameronoelsen
jupyter,jupyter.github.io,150,2016-11-01 03:54:19,True,closed,willingc
jupyter,jupyter.github.io,151,2016-11-01 06:07:08,True,closed,willingc
jupyter,jupyter.github.io,152,2016-11-02 20:41:04,True,closed,cameronoelsen
jupyter,jupyter.github.io,153,2016-11-05 21:16:17,True,closed,SylvainCorlay
