org,repo,number,date,state,user
jupyter,jupyter.github.io,70,2016-01-26 19:12:50,closed,jhamrick
jupyter,jupyter.github.io,71,2016-01-26 20:00:06,closed,jhamrick
jupyter,jupyter.github.io,72,2016-01-27 23:48:33,closed,cameronoelsen
jupyter,jupyter.github.io,73,2016-01-28 22:45:03,closed,cameronoelsen
jupyter,jupyter.github.io,74,2016-01-28 23:05:56,closed,cameronoelsen
jupyter,jupyter.github.io,75,2016-02-05 19:48:46,closed,cameronoelsen
jupyter,jupyter.github.io,76,2016-02-05 20:13:58,closed,cameronoelsen
jupyter,jupyter.github.io,77,2016-02-17 19:31:31,closed,cameronoelsen
jupyter,jupyter.github.io,78,2016-02-17 19:37:37,open,ellisonbg
jupyter,jupyter.github.io,79,2016-02-26 19:41:17,closed,cameronoelsen
jupyter,jupyter.github.io,80,2016-03-09 22:03:53,closed,Carreau
jupyter,jupyter.github.io,81,2016-04-02 17:10:31,closed,willingc
jupyter,jupyter.github.io,82,2016-04-02 17:25:34,closed,willingc
jupyter,jupyter.github.io,83,2016-04-12 01:43:37,open,ellisonbg
jupyter,jupyter.github.io,84,2016-04-15 18:39:12,closed,cameronoelsen
jupyter,jupyter.github.io,85,2016-04-20 00:30:36,closed,jdfreder
jupyter,jupyter.github.io,86,2016-05-18 17:25:30,closed,jasongrout
jupyter,jupyter.github.io,87,2016-05-18 21:37:00,open,Carreau
jupyter,jupyter.github.io,88,2016-05-20 07:56:58,open,zkk995
jupyter,jupyter.github.io,89,2016-05-23 20:32:21,closed,rgbkrk
jupyter,jupyter.github.io,90,2016-05-24 03:13:31,closed,go-bears
jupyter,jupyter.github.io,91,2016-05-24 23:18:49,closed,SylvainCorlay
jupyter,jupyter.github.io,92,2016-05-27 20:59:01,closed,SylvainCorlay
jupyter,jupyter.github.io,93,2016-05-29 05:22:38,closed,SylvainCorlay
jupyter,jupyter.github.io,94,2016-05-31 00:47:55,open,ellisonbg
jupyter,jupyter.github.io,95,2016-05-31 10:32:45,closed,willingc
jupyter,jupyter.github.io,96,2016-05-31 22:25:46,open,fperez
jupyter,jupyter.github.io,97,2016-06-04 07:41:53,closed,stonebig
jupyter,jupyter.github.io,98,2016-06-06 09:25:54,closed,minrk
jupyter,jupyter.github.io,99,2016-06-06 10:54:45,closed,minrk
jupyter,jupyter.github.io,100,2016-06-06 10:57:24,closed,minrk
jupyter,jupyter.github.io,101,2016-06-07 00:25:56,open,nickbadams
jupyter,jupyter.github.io,102,2016-06-07 04:09:31,open,Carreau
jupyter,jupyter.github.io,103,2016-06-22 00:26:00,closed,charnpreetsingh
jupyter,jupyter.github.io,104,2016-06-23 17:22:48,open,Carreau
jupyter,jupyter.github.io,105,2016-06-26 20:29:15,closed,willingc
jupyter,jupyter.github.io,106,2016-06-26 21:03:57,closed,willingc
jupyter,jupyter.github.io,107,2016-06-27 11:56:42,closed,willingc
jupyter,jupyter.github.io,108,2016-06-27 12:21:26,closed,SylvainCorlay
jupyter,jupyter.github.io,109,2016-06-27 12:54:04,closed,SylvainCorlay
jupyter,jupyter.github.io,110,2016-06-27 21:05:27,open,SylvainCorlay
jupyter,jupyter.github.io,111,2016-06-27 23:37:59,closed,Carreau
jupyter,jupyter.github.io,112,2016-06-28 00:15:19,closed,SylvainCorlay
jupyter,jupyter.github.io,113,2016-06-28 00:47:37,closed,willingc
jupyter,jupyter.github.io,114,2016-06-29 00:14:10,closed,dmadeka
jupyter,jupyter.github.io,115,2016-07-11 13:32:28,closed,dmadeka
jupyter,jupyter.github.io,116,2016-07-14 03:30:20,closed,roshancvp
jupyter,jupyter.github.io,117,2016-07-16 05:27:58,closed,minrk
jupyter,jupyter.github.io,118,2016-07-29 06:45:58,open,kojustin
jupyter,jupyter.github.io,119,2016-08-18 03:13:57,closed,Carreau
jupyter,jupyter.github.io,120,2016-08-30 13:58:07,closed,shwina
jupyter,jupyter.github.io,121,2016-09-02 21:00:04,open,jasongrout
jupyter,jupyter.github.io,122,2016-09-07 00:32:14,closed,npmcdn-to-unpkg-bot
jupyter,jupyter.github.io,123,2016-09-08 05:55:35,closed,go-bears
jupyter,jupyter.github.io,124,2016-09-08 05:59:52,closed,go-bears
jupyter,jupyter.github.io,125,2016-09-13 20:56:05,closed,go-bears
jupyter,jupyter.github.io,126,2016-09-15 12:09:17,closed,vroomanj
jupyter,jupyter.github.io,127,2016-09-17 03:56:09,closed,go-bears
jupyter,jupyter.github.io,128,2016-09-20 22:53:28,closed,go-bears
jupyter,jupyter.github.io,129,2016-09-21 07:03:59,closed,go-bears
jupyter,jupyter.github.io,130,2016-09-26 00:21:13,closed,spoorthyv
jupyter,jupyter.github.io,131,2016-09-26 07:24:00,closed,spoorthyv
jupyter,jupyter.github.io,132,2016-09-27 21:44:45,closed,go-bears
jupyter,jupyter.github.io,133,2016-09-28 18:14:02,closed,rgbkrk
jupyter,jupyter.github.io,134,2016-09-29 18:04:06,closed,parente
